,l1,l2,l3,global_id,category
0,1299.9714958745988,3500.5548005032438,-12.594183820668547,153,2
1,1286.8734609362048,3500.585488614526,-12.591529538125315,151,2
2,1290.1903361463633,3500.6510748145774,-12.592239460671294,152,2
3,1283.4255088365512,3500.6183805249816,-12.590848925564728,150,2
4,1278.7512296827053,3501.6809508410624,-12.590488671359822,155,2
5,1271.0416536616062,3845.055466090592,-12.786931710758608,10,2
6,1290.81926138791,3902.848709954919,-12.82607288133579,17,2
7,1301.2965252987408,3902.984748644295,-12.828298412372419,18,2
8,1278.9166736399795,3902.2163269591438,-12.823272749056628,20,2
9,1283.904615979111,3902.839220625653,-12.824662719259663,27,2
10,1287.4420146965945,3902.9271969325364,-12.825434116322072,16,2
11,1292.6130953660559,3501.024114911043,-12.592937838881653,149,1
12,1278.7410940293837,3501.917325444896,-12.59061656323587,160,1
13,1285.5801180875624,3596.1229789405706,-12.644480386653527,167,1
14,1285.63434968698,3683.217829721924,-12.694250598009376,169,1
15,1285.570472372879,3765.677722774065,-12.742446477963881,170,1
16,1294.8073421600066,3679.0220201805287,-12.693692388068769,8,1
17,1294.9945136555161,3772.664474256512,-12.748497906682644,9,1
18,1293.7223422733975,3903.3846077590906,-12.826993141705827,35,1
19,1281.536463332828,3999.8081225612864,-12.884329028370587,48,1
20,1285.58079503009,3999.7933835110325,-12.88513915664447,45,1
21,1285.4471308136278,4100.976030564931,-12.949445132496578,46,1
22,1281.6266668918481,4100.886903406894,-12.948613612025724,49,1
23,1307.402279251035,4130.44794355047,-12.972977352831094,52,1
24,1281.5310162785972,3596.140672293476,-12.64367047065457,174,3
25,1281.5963119974208,3683.263286896386,-12.693459078865772,175,3
26,1281.4701083214482,3765.64721657483,-12.741597989921047,176,3
27,1294.8616548564155,3742.764984979262,-12.730834252320278,101,3
28,1295.1594945970683,3774.991409194197,-12.749910047103072,102,3
29,1294.4930526025141,3815.1221012278897,-12.773680713414592,108,3
30,1295.1236906670392,3829.5880900409993,-12.782489245427655,106,3
31,1295.4975914344805,3840.2423014279816,-12.78897928236529,116,3
32,1297.7307384883877,3928.8715127239434,-12.843480082469114,122,3
33,1296.7375982673607,3962.663232584712,-12.864207013224245,123,3
34,1281.5565484349077,3999.972113235453,-12.884436039556135,75,3
35,1281.5447709599166,4101.008405104304,-12.948675246607309,76,3
36,1295.174327487866,4146.755041791442,-12.98106055470771,128,3
37,1307.270760839352,4206.788538511361,-13.022906129800731,133,3
38,1344.5773537137484,4253.242185360661,-13.061558447159541,135,3
39,1288.2516087533777,3847.8847907879986,-12.792115020781239,249,4
